"Ref","OND_Node_Title","tlahtolli","IDIEZ gramática","IDIEZ def. náhuatl","IDIEZ def. español","SShort_IDIEZ","IDIEZ traduc. inglés","IDIEZ morfología","Credit"
"WHP-208601","īilpiā.","īilpiā.","tlach3.","niqu. Macehualli quiiihyaloa ce acahya, ce tlapiyalli zo ce tlamantli ica lazoh, cuamecatl zo alampreh pampa axquinequi ma copini. “Tomas quiiilpihqueh cuatzintlan pampa tlahuel tlacualaniyaya campa itztoyah. ”","","","to tie s.o., an animal or s.t. up.","ilpiā (tlaomp. )","IDIEZ"
"WHP-208602","īinama.","īinama.","tlach2.","Zan motequihuia ica NA huan INIHHUANTIN. nic. Macehualli eli quiillia ceyoc ma quicuapili tomin tlen quitlaneuhtihtoc. “Karina quiiinanqui icompah tlen quihuiquiliyaya mehcatzan achi pinahuayaya para quiilliz. ”","","","to collect debt from s.o., after all.","inama (tlaomp. )","IDIEZ"
"WHP-208603","īitztihca.","īitztihca.","tlach. axahci.","ĪITZTIHCAC. ni. Macehualli, tecuani zo tlapiyalli nocca iitztoc canahya. “Iitzticac Jorge itatah pampa itztoqueh iconehuan quipaxaloah. ”","","","for s.o. to still be someplace, after all.","itztihca (tlaomp. )","IDIEZ"
"WHP-208604","īīxāhuiā.","īīxāhuiā.","tlach3.","niqu. Macehualli eli quixpahpaca ce acahya zo eli quipahpaca ce tlamantli zan quentzin ica atl. “Carla quiiixahuih Ximena mehcatzan mixxamihtoyaya ica xapoh huan ica atl. ”","","","to wash s.o.’s face or to wash the surface of s.t., after all.","īxāhuiā (tlaomp. )","IDIEZ"
"WHP-208605","īixca.","īixca.","tlach1.","niqu. Macehualli eli quitlalia ce tlamantli zo tlacualiztli pan tlitl pampa quinequi ma iucci. ""Marcos icomalehhuan quiiixcah elotl pan tlixictli mehcatzan axquipiya tlicolli. ” ","","","to cook s.t. on the fire, after all.","ixca (tlaomp. )","IDIEZ"
"WHP-208606","māmaca.","māmaca.","tlach1.","nic. /nimo. Macahualli, tecuani zo tlapiyalli eli quichihua ma quicelhuili ce tlamantli ceyoc. “Suri quimamacac Paola ipipilol tlen quipolohtoya apan pampa ya quiahcic. ”","","","to give s.t. to s.o. after all.","maca1 (tlaomp. )","IDIEZ"
"WHP-208607","māmachiliā.","māmachiliā.","tlach3.","nic. Macehualli eli quicui quentzin tlacualli pan ce tlenhueli huan quitlalia icamaco para quiihtoz tlan ahhuiyacca. “Pepe quiillia icihuauh, “Xicmamachili ni tlacualli: axnelli mitztlanahuiz. ” ","","","to taste a food after all.","machiliā (tlaomp. )","IDIEZ"
"WHP-208608","māmactiliā.","māmactiliā.","tlach3.","nic. Macehualli quimamaca ceyoc ce acahya, ce tlapiyalli zo ce tlamantli pan imah. “Martin quimamactilih itioconeuh ipilpitzo mehcatzan zan yainon quipixtoya. ”","","","to deliver s.t. to s.o. in person.","mactiliā (tlaomp. )","IDIEZ"
"WHP-208609","māmācui.","māmācui.","tlach1.","nic. Macehualli eli quiquixtia ce tlamantli xihuitl ica inelhuayo. “Diego quimamacuic tlancuabobotoh tlen ixhuatoya itzintlan toctli. ”","","","to pull a plant up by its roots after all.","mācui (tlaomp. )","IDIEZ"
"WHP-208610","māmahcāhua1.","māmahcāhua1.","tlach2.","nic. Macehualli eli quitlapoa zo quixitoma ce acahya zo tlapiyalli campa quitzauctoqueh zo quiilpitoqueh. “Gerardo quimamahcauhqui ipiyo tlen quiilpitoya miltic pampa axacah acquiya quimocuitlahuiz. ”","","","to release s.o. or an animal after all.","mahcāhua1 (tlaomp. )","IDIEZ"
"WHP-208611","māmahci.","māmahci.","tlach1.","Tecuani zo tlapiyalli eli cuatacani campa tlaquetztoc macehualli. “Quemman Francisco tlaquetzayaya millah quena mahciyayah piltecuanitzitzin huan cuatochimeh. ”","","","for an animal to fall into a trap after all.","mahci (tlaomp. )","IDIEZ"
"WHP-208612","māmahcui.","māmahcui.","tlach1.","nic. Macehualli eli quicelia quence iconeuh ceyoc quemman quicuaatequia totahtzin tiopan. “Carmela quimamahcuic Anna meuhcatzan axquinequiyaya. ”","","","to become the godparent a child after all.","mahcui (tlaomp. )","IDIEZ"
"WHP-208613","māmahcuiliā.","māmahcuiliā.","tlach3.","nic. Macehualli eli quicelia ce acahya iconeuh quemman quicuaaltia totahtzin. “Roberto quimamahcuilih ome iconehuan iicniuh pampa axquimatiyaya acquiya quiilliz. ” ","","","to become the godparent of s.o.’s child after all.","mahcuīliā (tlaomp. )","IDIEZ"
"WHP-208614","namaquīltiā.","namaquīltiā.","tlach3.","ni. Macehualli quichihua ma quicohua ce acahya ce tlamantli tlen ya quitencahua. “Noma nechnamaquiltih ce piyo huan axquemman nictlaxtlahuih. ”","	A. Persona que le ofrece a otra una cosa y lo compra con dinero. “Martha le vende a Juana un pollo.“ 	B. Vender u ofrecer. ","","to sell s.t. to s.o.","namaca, ltiā2.","IDIEZ"
"WHP-208615","zoquiyōtepēhua","zoquiyōtepēhua","tlach2.","ni. Macehualli quiquixtilia tecactli izoquiyo tlen huactocca. “Felipe itatah quizoquiyotepehua itecac pampa axquipiya tomin para mocohuiz ceyoc. ”","","","to remove dried mud from shoes.","zoquiyōtepēhui, a4.","IDIEZ"
"WHP-208616","zoquiyōhua","zoquiyōhua","tlach2.","Ce tlamantli quipixtiyohua tlalpotectli zo quentzin zoquitl. “ʻRosa, ne motlaquen xiccuaquechi campa ticpatlauhtoc; tlaxque zoquiyohuaz. ’”","","","for s.t. so become soiled.","zoquitl, yō, hua1.","IDIEZ"
"WHP-208617","zoquichīhua2.","zoquichīhua2.","tlach2.","nitla. Macehualli cihuatl quicualtlalia zoquitl huanya xalli para quichihchihuaz comalli, chachapalli, xaloh zo ceyoc tlamantli. “Notonanan concui zoquitl tlen coztic pampa tlazoquichihuaz huan mochihchihuiliz ce icomal. ” ","","","for a woman to mix mud and sand for making clay griddles or pottery.","zoquitl, chīhua.","IDIEZ"
"WHP-208618","xihuiyōtemō.","xihuiyōtemō.","tlach1.","Cuahuitl mozahua huan tepehui ixihuiyo. “Ne tamaxococuahuitl tlen ihcatoc tlanempan tlahuel xihuiyotemo huan noma monequi tlachpanaz ahachica. ” ","","","for the leaves to fall from a tree.","zihuiyō, temō.","IDIEZ"
"WHP-208619","cocoyōli.","cocoyōli.","tlach2.","ni. Macehualli zo tlapiyalli pehua quipiya cocotl pan itlacayo. “Macehualli pehua cocoyoli quemman quicuah moyomeh tlayohua. ” ","","","for a person to break out in sores, bites or pimples on their body.","cocotl, yōli.","IDIEZ"
"WHP-208620","tepalcalli.","tepalcalli.","tlat.","Nouhquiya TEPALCATL. Ce achi tlen chachapalli, boteyah zo ceyoc tlamantli ihuical tlen tlapantoc huan tlatequi. “Quemman niihhuiya apan nechtecqui tepalcalli pampa zantequitl nicalacqui huan quizqui miac eztli. ”","","","a shard of clay or glass.","","IDIEZ"
"WHP-208621","āmīzahhuīltiā.","āmīzahhuīltiā.","tlach3.","Nouhquiya ĀMĪZAHUĪLTIĀ. nic. Macehualli quichihua ma atoco ce acahya, ce tecuani zo ce tlapiyalli canahya campa oncah miac atl. “Nicamizahhuiltih nochichi pampa axnicnequiyaya ma itzto nochan. ”","","","to drown s.o. or an animal.","āmīzahhuiā, ltiā1.","IDIEZ"
"WHP-208622","cuāmahpachoā.","cuāmahpachoā.","tlach3.","nic. Macehualli quiitzquia ceyoc itzontecon ica imah pampa quicocoa itzontecon. “Leonardo quicuamahpachoa inanan pampa quicocoa itzontecon huan axquipiya pahtli tlen quioniz. ”","","","to press with one’s hands the head of a person who has a headache.","cuāitl, māitl, pachoā.","IDIEZ"
"WHP-208623","zantlahmati.","zantlahmati.","quen.","Tecuanimeh, ocuilimeh, cuatlacquetl zo ceyoc tlamantli tlahuel itztoqueh zo oncah ce canahya. “Ne tamaxococuahuitl zantlahmati quipiya ocuilimeh huan tlan mitztomonizceh, ahhuayohua huan eli quence cocotl pan motlacayo. ”","","","for there to be an abundance of s.t.","zan, tlahmati.","IDIEZ"
"WHP-208625","icxicuēlihui.","icxicuēlihui.","tlach2.","ni. Macehualli, tecuani zo tlapiyalli moicxicotzanoa. “Noconeuh axhueli nehnemi pampa icxicueliuhqui quemman yohuiyaya millah. ”","# una persona, animal silvestre y animal domestico se dobla el pie. “cuando Sabina iba corriendo al arroyo se doblo el pie”.","","for a person or animal to twist their ankle.","icxitl, cuēlihui.","IDIEZ"
"WHP-208626","icxilichīni.","icxilichīni.","tlach2.","ni. Macehualli, tecuani zo tlapiyalli quixixitoa ce tlamantli quemman quiahci pan iicxi. “Abelardo icxilichinqui quemman motepotlamih pan tetl. ”","# 1. niqui. una persona le lastima a otro con algo. “mi hermano lastimo los pies un niño de otro porque se pelearon en el patio”. 2. nech. unos zapatos les lastima los pies una persona porque esta muy duro o esta chiquito. “a mi me lastima mucho mis zapatos porque cuando lo compre no me los prove”.","","to scrape one’s foot.","icxi, lichīni.","IDIEZ"
"WHP-208627","ihyōcāhua.","ihyōcāhua.","tlach2.","nimo. Macehualli axcanah mihyocui ce tlatoctzin. “Lidia itonanan quemman meltzimia moihyocahua huan ixchichilihui. ”","","","to hold one’s breath.","ihyōtl, cāhua.","IDIEZ"
"WHP-208628","tlatīticatoc.","tlatīticatoc.","","Xiquitta TLATĪTICA. ","","","See TLATĪTICA.","","IDIEZ"
"WHP-208629","tiōtlaquiliā2.","tiōtlaquiliā2.","tlach2.","1. nic. Macehualli quihuahcahua ceyoc ica ce tequitl. “Luis tlahuel quitiotlaquilia iicniuh quemman tequitih millah huan yeca ayocacah quinequi quipalehuiz. ” 2. nech. Ce tequitl quicemilhuichihua macehualli. “Nechtiotlaquilih noazadon quemman nictentiyaya pampa axtlatequiyaya nolimaz. ”","# Ni. Una persona y animal domestico tarda cuando hace una cosa o cuando va a un lugar. “Yo siempre tardo cuando voy a visitar a mi cuñada”.","","1. for a person to detain s.o. a long time with a task. 2. for a task to detain s.o. a long time.","tiōtlaquiya, liā1.","IDIEZ"
"WHP-208630","tōniliā2.","tōniliā2.","tlach3.","nic. Macehualli quimocuitlahuia ce acahya zo ce tlapiyalli zo tlamantli ce yahualli. “Tequihuahquemeh quitoniliah tlahuilanquetl tlen quitzauctoqueh para axcanah ma quiza.” Axcanah nictequihuia","# 1. una persona pasa una noche en algun lugar. “Samuel paso la noche afuera porque no le abrio su esposa”. 2. el enfermo que ya se iba a morir, mira otro dia. “Ofeli itonanan ya se iba a morir y todavía amanecio otro dia, porque quiso ver a todos sus hijos”.","","for a person to take care of s.o. or an animal overnight.","tōniya, liā1.","IDIEZ"
"WHP-208631","tlayohuīltiā","tlayohuīltiā","tlach3.","nic. Macehualli quichihua ma mocuapa ichan ce acahya tlayohua. “Noahui nechtlayohuiltih quemman nicpalehuito, huan quemman niahcito nochan nechahhuaqueh. ”","# Persona se le hace tarde algún lado por una cosa. “a mi se me hizo tarde donde fui a trabajar por eso no fui temprano a mi hijo donde lo cuidan.”","","to cause s.o. to return home late at night.","tlayohuiliā, ltiā1.","IDIEZ"
"WHP-208632","ticiempreh.","ticiempreh.","tlat.","Metztli tlen neltlatepotzco tlen ce xihuitl. “Pan ticiempreh tlahuel yolpaquih macehualmeh pampa tlamizza xihuitl huan panozceh ceyoc tlen yancuic. ”","","","December.","diciembre (huahca. )","IDIEZ"
"WHP-208633","tlazoltepēhui.","tlazoltepēhui.","tlach2.","Huetzi cuahuitl ixihuiyohuan zo ipilmacuayohuan tlen huactoquehya. “Niontlanqui nitlachpana ne alaxox itzalan huan naman zampa tlazoltepeuhquiya; hueliz pampa cheneh tlaeheca. ”","# una persona tira basura. “Diana tira basura en su casa cuando comen algo”. ","","for dry leaves or twigs to fall from a tree.","tlazolli, tepēhui.","IDIEZ"
"WHP-208634","caltechhuiliā.","caltechhuiliā.","tlach3.","nic. /nimo. Macehualli quitlalia zo quizancehcotlalia inechca caltepamitl ce tlamantli tlen ceyoc iaxca. “Juventino nochipa quicaltechhuilia itatah icuauh quemman tlaahuetzi pampa ya axacah hueli. ”","","","to move s.t. up against the wall for s.o.","caltechoā, huiliā2.","IDIEZ"
"WHP-208635","itztihcac.","itztihcac.","tlach. axahci.","Xiquitta ITTA1. ","","","See ITTA1.","","IDIEZ"
"WHP-208636","icxililichica.","icxililichica.","tlach1.","ni. Macehualli xipehui iicxinacayo pampa axquicui ce tecactli zo quiicxicocoa ce tlamantli. “Noma icxililichica quemman quitequihuia tecactli pampa axmomattoc. ”","","","for one’s foot to abrade due to an ill-fitting shoe or an injury.","icxilichini (tlaomp. )","IDIEZ"
"WHP-208637","icxinecuilihui.","icxinecuilihui.","tlach3.","ni. Macehualli, tecuani zo tlapiyalli icxicuelpachihui pampa axcualli moquetza quemman nehnemi. “Jose nochipa icxinecuilihui quemman yohui millah pampa tetahya. ”","# una persona, animal silvestre y animal domestico se dobla el pie porque no se para bien donde camina. “Araceli se doblo el pie cuando vio a su esposo y fue corriendo a verlo”.","","to twist one’s ankle.","icxi, necuilihui.","IDIEZ"
"WHP-208638","tlaquēnhuiā.","tlaquēnhuiā.","tlach3.","nic. /nimo. Macehualli quiquixtilia tlaquemitl ceyoc. “Nochocho nechtlaquenhuia quemman huanya nicochi pampa tlahuel cececui. ”","","","to remove the blanket that is covering s.o.","tlaquēmitl, huiā1.","IDIEZ"
"WHP-208639","cahuayoāxīxtli.","cahuayoāxīxtli.","tlat.","Atl tlen quiquixtia cahuayoh campa maxixa. “Juan icxitzatzayaca pampa pan moquetzqui cahuayoaxixtli. ” ","","","horse urine.","cahuayoh, āxīxtli.","IDIEZ"
"WHP-208640","tzohtzocoyōlihui.","tzohtzocoyōlihui.","tlach2.","Yoyomitl, olli zo nailoh eli nelcuecuetztzin quemman quiahci tlitl. “Nocobetah tzohtzocoyoliuhqui pampa nicmanqui inechca tlitl. ”","# Ropa, hule y nailo se hace pequeño cuando le haya fuego. “Martín quemó un nailo que estaba tirado en el patio y nadamás de hizo chiquito”.  ","","for s.t. to shrink a lot on contact with fire","tzocoyōlihui (tlaomp. )","IDIEZ"
"WHP-208641","axica.","axica.","","Xiquitta ICA. ","","","See ICA.","","IDIEZ"
"WHP-208642","cuāīxpoyāhuāltiā.","cuāīxpoyāhuāltiā.","tlach3.","1. nech. Tlamantli xihuitl zo pahtli quicuapoloa macehualli pampa chicahuac mihyotia. “Axnechcuahuelitta ne cuapahtli tlen moahaloa nopa pampa nechcuaixpoyahualtia. ” 2. nech. Tlamantli huinoh tlen quioni macehualli pehua quicuapoloa. “Ohuaatl quicuaixpoyahualtia noicniuh pampa cheneh pozontoc huan chicahuac, huan ya axmomattoc quioni. ” 3. nic. /nimo. Macehualli quiyahualoa zo quicuamalacachoa ceyoc huan ya pehua cuahuihuiti. “Nomimi tlahuel yolpactoc pampa onahcico huan yeca quicuaixpoyahualtia nochocho. ”","	A. 1. Cosa hoja que hace perder conocimiento a una persona porque huele fuerte. “esa viejita le dolía su cabeza y olió mucho hoja de anuna y eso la mareo.” 2. cosa aguardiente que toma la persona empieza a perder el conocimiento. “Manuel le da a su hijo una cerveza y lo mareo.” 3. persona que rodeo o le da vuelta otra y ella empieza a perder conocimiento. “mariana le dio vuelta a su hermano y lo mareo mucho y el empezó a vomitar.” 	B. Hacer marear a otra. ","","1. for the smell of an herb, medicine, insecticide or herbicide to make s.o. dizzy. 2. for alcohol to make s.o. dizzy. 3. to turn or swing s.o. around and make them dizzy.","cuāīxpoyāhui, āltiā1.","IDIEZ"
"WHP-208643","tecpinyoh.","tecpinyoh.","quen.","Ce tlapiyalli zo ce tlamantli quipiya tecpin. “‘Ne mochichi tlahuel tecpiyoh; monequi xicahalti ahachica pampa teipan tepehuiz iihhuiyo calihtic. ”","","","for an animal to have fleas; for s.t to be covered with fleas.","tecpimitl, yoh.","IDIEZ"
"WHP-208644","īxpāqui.","īxpāqui.","tlach2.","ni. Macehualli huetzca quentzin quemman quillia zo quemman quiitta ce tlamantli cualli zo yehyectzin. “Jesica ixpaqui quemman quiitta telpocatl tlen quiamati. ”","","","to smile.","īxtli, pāqui.","IDIEZ"
"WHP-208645","cuāīxhuac.","cuāīxhuac.","tlap.","no. Ce achi itzontecon macehualli, tlapiyalli zo tecuani tlen quipiya inechca toixtiyol ica huahcapan. ” Nicmaquilih ce huacax ica nocharpih pan mero icuaixhuac huan peuhqui cuahuihuiti. ”","","","s.o. or an animal’s forehead.","cuāitl, īxtli, huac.","IDIEZ"
"WHP-208646","mīxmachyōtiā.","mīxmachyōtiā.","tlach3.","ni. Macehualli quichihua ce cruztzin pan iixayac huan iyolixco. “Miguel iconehuan nochipa mixmachyotiah quemman ihzah huan quemman cochih. ”","# nimo. Una persona hace una cruz en su rostro cuando va a la iglesia. “ Todas las personas enseñan a sus hijos a persinarse cuando pasan cerca de la iglesia”.","","to make the sign of the cross.","mo1, īxmachyōtiā.","IDIEZ"
"WHP-208647","tlamachīhua.","tlamachīhua.","tlach2.","Nouhquiya TAMACHĪHUA. 1. nic. /nimo. Macehualli quitlalia ce acahya, ce tlapiyalli zo ce tlamantli pan ce tepoztli pampa quinequi quimatiz quezqui etiya. “Carla quitlamachihua ce piyo quezqui etiya pampa quinequi quinamacaz. ” 2. nic. Macehualli quiyehyecoa ce tlalli, ce huapalli zo ce tlamantli pampa quinequi quimatiz ihuexca. “Felipe quitlamachihua tlalli para quinmahmacaz iconehuan. ” 3. nic. Macehualli quiyehyecoa ica imapatlac ihuahcapanca ce acahya zo ce pitzotl. “Juan quitlamachihua ipitzo chan itlayi pampa quinequi quimictiz pan ilhuitl. ”","","","1. to weigh s.o. or s.t. 2. to measure the size or extension of s.t. 3. to measure the height of s.o. or a pig.","","IDIEZ"
"WHP-208648","lēchionī.","lēchionī.","tlach1.","ni. Conetzin zo macehualli quihuica lechi icamaihtic pan ce tlenhueli. “Elizabeth ichan lechionih ce yahuatzinco huan axcanah tlacuah niman. ”","","","to drink milk.","lēchi, onī.","IDIEZ"
"WHP-208649","īxmictiā1.","īxmictiā1.","tlach3.","nech. Macehualli quiixcocoa tlahuilli zo tonatiuh pampa tlahuel tlamina huan ya axhueli quitlachilia. “Jorge quiixmictih tezcatl tlen eltoya tlanempan pampa tlahuel tona. ”  ","# nech. Sol y cosa que brilla mucho y le lastima la vista a una persona. “Me lastimó la vista un carro cuando iba en mi caballo”.","","for the sun or light to dazzle one’s eyes.","īxtli, mictiā.","IDIEZ"
"WHP-208650","camaīxnāmiqui.","camaīxnāmiqui.","tlach2.","nic. Macehualli quicuapilia zanilli ceyoc quemman quinahuatiah ma quichihua ce tlamantli. “Eliseo zan quicamaihixnamiqui inanan quemman axacah itatah. ”","","","to answer s.o. back.","camatl, īxnāmiqui.","IDIEZ"
"WHP-208651","icxitzohtzocoyōlihui.","icxitzohtzocoyōlihui.","tlach2.","ni. Macehualli icxicualohlocotzihui. “Eduardo tlahuel icxitzohtzocoyolihui quemman cochtoc huan quitemahmauhtia inanan pampa tlahuel tzahtzi. ”","# una persona que le calambres. “Eduardo se calambrea mucho, porque siempre va a jugar allá atrás de la casa”.","","to have continuous foot cramps.","icxitzocoyōlihui (tlaomp. )","IDIEZ"
"WHP-208652","tohhuān.","tohhuān.","tlat.","Nouhquiya TOHHUĀNTIN. Quimanextia macehualmeh tlen zaniloah. “Tohhuan mohmoztlah titlachpanah tochan; tomachicnihuan inihhuantin axcanah quichihuah. ”","","","we (first person plural independent personal pronoun).","to, ah, huān2.","IDIEZ"
"WHP-208653","inmohhuān.","inmohhuān.","tlat.","Nouhquiya INMOHHUĀN. Quimanextia macehualmeh tlen huanya nizaniloa. “Inmohhuan intequititih millah huan na nimociauhcahuaz. ”","","","yʻall (second person plural independent personal pronoun).","inmo, ah, huān2.","IDIEZ"
"WHP-208654","inihhuān.","inihhuān.","tlat.","Nouhquiya INIHHUĀNTIN. Quimanextia macehualmeh tlen ica nizaniloa. “Na niyaz nitlamachtiti; Alberto huan Juan inihhuan mocahuazceh nican. ”","","","they (third person plural independent personal pronoun).","inin1, ah, huān2.","IDIEZ"
"WHP-208655","īxpōztequi2.","īxpōztequi2.","tlach2.","niqu. Macehualli, tecuani zo tlapiyalli quicotona quentzin itzonco ce xihuitl zo ce cuahuitl. “Nopiyo quiixpoztecqui noxochiuh pampa pan cuatlehcoc huan ayicanah chicahuac eliyaya icuayo. ”","A. 1. se rompe un poco arriba la hoja,  el palo y  el cerro. “dicen que el cerro de izcacuatitlah se cayó  un poco la punta hace mucho tiempo, poreso está otro cerrito a su lado. 2. niqu. una persona, un animal domestico y silvestre lo rempen un poco arriba una hoja o un palo. “Mi pollo lo arrancó la parte de arriba mi flor porque se sube y no era duro todavía”. B. 1. se rompe la parte de arriba. 2. alguien lo rompe la parte de arriba. ","","to break off the tip of a tree, a plant or a branch.","īxtli, pōztequi.","IDIEZ"
"WHP-208656","tlatlāhuiā.","tlatlāhuiā.","tlach3.","ni. Macehualli quichihua ma tlaneci zan campahueli ica ifocoh quemman tzintlayohua. “Ce tlayohua quemman tiyohuih campa iteixmatcauh nonanan, notatah tlatlahuia para ma axcanah pan timoquetzacan ce ocuilin. ”","	A. 1. Sol, luna, estrella, mozquito y foco aluzan. “Yo me tropece a noche y me cai porque no prende bonito la luna”.  2. Un collar que tiene piedritas y cuando lo ponen en el sol mempieza a brillar. “Mi mamá encontró  unos aretes cuando iba a la milpa, porque aluzaba mucho”. 	B. 1. Todo lo aluza.   2. Algo que tiene piedritas y con el sol aluza. ","","for a person to shine a light in the dark.","tlāhuiā (tlaomp. )","IDIEZ"
"WHP-208657","tēmaloā.","tēmaloā.","tlach3.","Axmotequihuia ica tlempanoz. Moixtlalia atl tetzactic huan quentzin xoxoctic pan ce cocotl, huan potehui. “Laura quinacazcocohqui ipipilol huan naman temalohqui pampa quicuahqui tecciztli. ”","# grano y encima empieza a salir agua verde y apesta. “Paula se quemo el pie y no se coro y ahora empeoro sale pus.”","","for pus to issue from a sore.","tēmalli, oā1.","IDIEZ"
"WHP-208658","tēmallohua.","tēmallohua.","tlach2.","Moixtlalia atl tetzactic huan quentzin xoxoctic pan ce cocotl, huan potehui. “Nopipi quemman conepixqui quitecqueh huan naman melahua temallohuaz pampa quimacaqueh ma quicua ayohtli. ”","# grano y encima empieza a salir agua verde y apesta. “Paula se quemo el pie y no se coro y ahora empeoro sale pus.”","","for pus to issue from some part of the body.","tēmalli, yō, hua1.","IDIEZ"
"WHP-208659","camapaztli.","camapaztli.","tlat.","ni. Macehualli tlen quiihtoa zanili tlen axcualli. “Roberto ichocho tlahuel camapaztli pampa zan ica quentzin nimantzin pehua tetlamantiillia. ”","","","person who uses profanity.","camatl, paztli.","IDIEZ"
"WHP-208660","icxiilpiliā.","icxiilpiliā.","tlach3.","nic. Macehualli quiicxinexcayotia ce piyo zo ce totolin ica ce iloh zo ce peztetl pampa axquinequi quiixcuapoloz. “Anna quiilpilih ce peztetl chichiltic ipiyo quemman quimahcauhqui ma yohui motlapehpeniti. ”","","","to tie a string or piece of cloth on a chicken or a turkey’s foot to distinguish it from others.","icxitl, ilpiliā.","IDIEZ"
"WHP-208661","cuateuhyohua.","cuateuhyohua.","tlach2.","Mocahua pilcuatehtzitzin iixco zo iihtico ce tlamantli tlen axcanah ixtzauctoc. “Naman quicualtlalizceh nochan huan tlan axcanah nictzacuaz noyoyon cuateuhyohuaz. ”","","","for an uncovered thing to get covered or full of little specks of things.","cuateuhtli, yō, hua1.","IDIEZ"
"WHP-208662","īxcuitlaquīxtiā.","īxcuitlaquīxtiā.","tlach3.","nic/nimo. Macehualli quiquixtilia iixcuitl ce acahya zo tlapiyalli. “Maria quiixcuitlaquixtia iconeuh pampa tlan axquiquixtiliz ixtzopiz. ”","","","to remove the slimy moisture running from a person’s eyes.","īxcuitlatl, quīxtiā.","IDIEZ"
"WHP-208663","tlaīxpachiuhtoc.","tlaīxpachiuhtoc.","","Xiquitta TLAĪXPACHIHUI. ","","","See TLAĪXPACHIHUI.","","IDIEZ"
"WHP-208664","īxtlatlāhuiā.","īxtlatlāhuiā.","tlach3.","Mizton petlani iixtiyol tlayohua quemman quiahci tlahuilli. “Noconeuh quimahuilia mizton pampa tlahuel ixtlatlahuia quemman quiahcotlachilia. ”","","","for a cat’s eyes to shine when hit by light.","īxtli, tlatlāhuiā.","IDIEZ"
"WHP-208665","paxāloā2.","paxāloā2.","tlach3.","nic. Macehualli yohui conitta ce acahya ichan. “Maria quipaxaloa icomaleh pampa mococoa huan axcanah quiitztoc. ”","	A. nic. Una persona va a ver a alguien en su casa. “María lo visita su comadre porque esta enferma y no lo a visto”. 	B. Visitar a alguien. ","","to visit s.o.","pasear (huahca. ), oā3.","IDIEZ"
"WHP-208666","tlacualtēquiā.","tlacualtēquiā.","tlach3.","nic. Macehualli quicui tlacualli ica ce cocharah huan quiteca pan polato. “Ernesta quitlacualtequia itatah pampa onahcico millah huan tlahuel mayana. ”","","","to serve s.o. food.","tlacualtēca, iā2.","IDIEZ"
"WHP-208667","nōque.","nōque.","quen.","Tlahtolli tlen quitequihuia macehualli tlen icaquiillia ceyoc ticchihuaz ce tlamantli huan na nicchihuaz ceyoc. “Alberto ta ticencuiliz toterquiuh noque na nimocauhhuaz.”","","","while...","nō, que","IDIEZ"
"WHP-208668","tlatitilicatoc.","tlatitilicatoc.","","Xiquitta TLATITILICA. ","","","See TLATITILICA.","","IDIEZ"
"WHP-208669","tilīntoc.","tilīntoc.","","Xiquitta TILĪNI. ","","","See TILĪNI.","","IDIEZ"
"WHP-208670","tlaācacahuacatoc.","tlaācacahuacatoc.","","Xiquitta TLAĀCACAHUACA. ","","","See TLAĀCACAHUACA.","","IDIEZ"
"WHP-208671","tlaxamāni.","tlaxamāni.","tlach2.","Ce canahya cuatitlan imahmahcauhyan caquizti ce tlaoholiniztli. “Quemman niyauh millah zan huanya nonanan nochipa ticcaquih tlaxamani Juan itlalhui huan pehuah timahmahuih. ”","","","for there to be a rustling sound among the trees in a certain place.","tla6, xamāni.","IDIEZ"
"WHP-208672","āchipīniā.","āchipīniā.","tlach3.","ni. Macehualli quitoyahua atl quehquentzitzin ce canahya. “Juventino icihuauh achipinia ce tlayohua ichan ica tlatiochihualatl quemman nochi cochihya. ”","","","to sprinkle water.","ātl, chipīniā.","IDIEZ"
"WHP-208673","tlachechecuecatoc.","tlachechecuecatoc.","","Xiquitta TLACHECHECUECA. ","","","See TLACHECHECUECA.","","IDIEZ"
"WHP-208674","tlacochhuahuatacatoc.","tlacochhuahuatacatoc.","","Xiquitta TLACOCHHUAHUATACA. ","","","See TLACOCHHUAHUATACA.","","IDIEZ"
"WHP-208675","tlacocoxocatoc.","tlacocoxocatoc.","","Xiquitta TLACOCOXOCA. ","","","See TLACOCOXOCA.","","IDIEZ"
"WHP-208676","tlaihticuacualacatoc.","tlaihticuacualacatoc.","","Xiquitta TLAIHTICUACUALACA. ","","","See TLAIHTICUACUALACA.","","IDIEZ"
"WHP-208677","tlaīxcuecuemocaya.","tlaīxcuecuemocaya.","","Xiquitta TLAĪXCUECUEMOCA. ","","","See TLAĪXCUECUEMOCA.","","IDIEZ"
"WHP-208678","potēhuiya.","potēhuiya.","tlach2.","Ce tlamantli tlacualiztli quiza iihyo axahhuiac quemman ihtlacahuiyaya. “Potehuiyaya nopitzonacauh pampa yehuahcauhya eltoc calihtic huan axacah acquiya quicualtlaliz. ”","# huele rico un tipo de comida lo que ya esta echado a perder y cuando esta muerto un aniaml silvestre o un animal domestico y no lo entierran luego. “hace ocho días Jorge se murió su perro en el monte y ahora apesta mucho”. ","","for a food that is spoiling to stink.","potēhui1, ya4.","IDIEZ"
